Riddle,Answer,Explanation
What tastes better than it smells?,A tongue, 
What is brown and sticky?,A stick, 
What can you catch but not throw?,A cold, 
What kind of room has no doors or windows,A mushroom, 
What is the center of gravity?,V, 
 What jumps higher than a building?,Everything,
What has a single eye but cannot see?,A needle, 
What belongs to you but others use it more than you do?,Your name, 
"I'm light as a feather, yet the strongest man can't hold me for more than 5 minutes. What am I?",Breath, 
What is so delicate that even mentioning it breaks it?,Silence, 
What kind of tree is carried in your hand?,A palm, 
What building has the most stories?,A library, 
I'm round at the ends and high in the middle.What am I?,Ohio, 
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first, the monkey, the squirrel, or the bird?",None,There are no bananas in a coconut tree
"A man leaves a $100,000 dollar bill on his desk and leaves work. When he returns the money is gone. He has three suspects: the cook, the cleaning lady, and the mail guy. The cook says he put the money under a book on his desk to keep it safe. They check and it is no longer there. The maid says she moved it when she was cleaning to the inside of the book between page 1 and 2. They open the book and look between page number 1 and 2 but it isn't there. The mail guy says he saw it sticking out of the book and to keep it safe he moved it to between page number 2 and 3. Once they are done the culprit is promptly arrested.Who did it",The maid,"A book starts on page 1. Page 1 is on one side of the page, and page 2 is on the other side. Therefore, it's not possible to stick anything there."
